March Madness 2019

Year,Round,Match,Team 1,Team 1 Seed,Team 2,Team 2 Seed,Tournament Value
2019,1,1,Duke Blue Devils,1,Unknown First Four 1,16,8
2019,1,2,VCU Rams,8,USF Bulls,9,1
2019,1,3,Mississippi State Bulldogs,5,Liberty Flames,12,4
2019,1,4,Virginia Tech Hokies,4,Saint Louis Soldiers,13,5
2019,1,5,Maryland Terrapins,6,Unknown First Four 2,11,3
2019,1,6,LSU Tigers,3,Yale Bulldogs,14,6
2019,1,7,Louisville Cardinals,7,Minnesota Golden Gophers,10,2
2019,1,8,Michigan State Spartans,2,Bradley Braves,15,7
2019,1,9,Gonzaga Bulldogs,1,Unknown First Four 3,16,8
2019,1,10,Syracuse Oranges,8,Baylor Bears,9,1
2019,1,11,Marquette Golden Eagles,5,Murray State Racers,12,7
2019,1,12,Florida State Seminoles,4,Vermont Catamounts,13,5
2019,1,13,Buffalo Bengels,6,Unknown First Four 4,11,3
2019,1,14,Texas Tech Red Raiders,3,Northern Kentucky Norse,14,6
2019,1,15,Nevada Wolf Pack,7,Florida Falcons,10,2
2019,1,16,Michigan Wolverines,2,Montana Grizzlies,15,7
2019,1,17,Virginia Cavaliers,1,Gardner-Webb Runnin' Bulldogs,16,8
2019,1,18,Ole Miss Rebels,8,Oklahoma Sooners,9,1
2019,1,19,Wisconsin Badgers,5,Oregon Ducks,12,4
2019,1,20,Kansas State Wildcats,4,UC Irvine Ant Eaters,13,5
2019,1,21,Villanova Wildcats,6,Saint Mary's Gaels,11,3
2019,1,22,Purdue Boilermakers,3,Old Dominion Big Blue,14,6
2019,1,23,Cincinnati Bearcats,7,Iowa Hawkeyes,10,2
2019,1,24,Tennessee Volunteers,2,Colgate Raiders,15,7
2019,1,25,North Carolina Tar Heels,1,Iona Gaels,16,8
2019,1,26,Utah State Aggies,8,Washington Huskies,9,1
2019,1,27,Auburn Tigers,5,New Mexico State Aggies,12,4
2019,1,28,Kansas Jayhawks,4,Northeastern Huskies,13,5
2019,1,29,Iowa State Cardinals,6,Ohio Buckeyes,11,3
2019,1,30,Houston Cougars,3,Georgia State Panthers,14,6
2019,1,31,Wofford Terriers,7,Seton Hall Pirates,10,2
2019,1,32,Kentucky Wildcats,2,Abilene Christian Wildcats,15,7
